Date,Away_Team,Home_Team,Away_Score,Home_Score,Home_Win
2025-2026,Kiwoom Heroes,LG Twins,4,10,1
2025-2026,NC Dinos,Doosan Bears,4,5,1
2025-2026,LG Twins,Kiwoom Heroes,6,4,0
2025-2026,Kiwoom Heroes,Lotte Giants,4,9,1
2025-2026,Kiwoom Heroes,SSG Landers,5,6,1
2025-2026,Hanwha Eagles,Kiwoom Heroes,3,4,1
2025-2026,NC Dinos,SSG Landers,5,3,0
2025-2026,Lotte Giants,LG Twins,3,1,0
2025-2026,KT Wiz,Lotte Giants,4,6,1
2025-2026,Kiwoom Heroes,SSG Landers,4,5,1
2025-2026,Doosan Bears,Hanwha Eagles,4,5,1
2025-2026,Kia Tigers,KT Wiz,4,3,0
2025-2026,Kia Tigers,NC Dinos,1,2,1
2025-2026,KT Wiz,LG Twins,5,4,0
2025-2026,KT Wiz,LG Twins,6,8,1
2025-2026,NC Dinos,KT Wiz,4,5,1
2025-2026,Hanwha Eagles,Doosan Bears,3,4,1
2025-2026,KT Wiz,Doosan Bears,4,6,1
2025-2026,Doosan Bears,Hanwha Eagles,1,4,1
2025-2026,Hanwha Eagles,Doosan Bears,6,4,0
2025-2026,LG Twins,Samsung Lions,7,5,0
2025-2026,Hanwha Eagles,Samsung Lions,5,3,0
2025-2026,Doosan Bears,Hanwha Eagles,5,4,0
2025-2026,Kiwoom Heroes,Hanwha Eagles,4,3,0
2025-2026,Lotte Giants,Doosan Bears,7,8,1
2025-2026,Kiwoom Heroes,SSG Landers,4,8,1
2025-2026,Kiwoom Heroes,Lotte Giants,3,7,1
2025-2026,Hanwha Eagles,KT Wiz,3,10,1
2025-2026,Kia Tigers,SSG Landers,4,6,1
2025-2026,Kia Tigers,Doosan Bears,2,6,1
2025-2026,Lotte Giants,NC Dinos,2,7,1
2025-2026,Kiwoom Heroes,KT Wiz,3,7,1
2025-2026,Samsung Lions,LG Twins,8,6,0
2025-2026,Kiwoom Heroes,SSG Landers,6,5,0
2025-2026,Hanwha Eagles,Lotte Giants,1,7,1
2025-2026,NC Dinos,Hanwha Eagles,1,4,1
2025-2026,KT Wiz,Doosan Bears,5,7,1
2025-2026,NC Dinos,SSG Landers,6,7,1
2025-2026,LG Twins,Hanwha Eagles,1,2,1
2025-2026,NC Dinos,SSG Landers,1,6,1
2025-2026,Kia Tigers,NC Dinos,7,6,0
2025-2026,KT Wiz,Doosan Bears,5,6,1
2025-2026,Hanwha Eagles,SSG Landers,4,1,0
2025-2026,LG Twins,Lotte Giants,2,3,1
2025-2026,LG Twins,KT Wiz,2,3,1
2025-2026,Kia Tigers,KT Wiz,2,4,1
2025-2026,Kiwoom Heroes,KT Wiz,6,7,1
2025-2026,Doosan Bears,Hanwha Eagles,3,9,1
2025-2026,Samsung Lions,Kia Tigers,4,3,0
2025-2026,Lotte Giants,Samsung Lions,4,6,1
2025-2026,Kia Tigers,LG Twins,4,5,1
2025-2026,Doosan Bears,Hanwha Eagles,4,5,1
2025-2026,Samsung Lions,Kiwoom Heroes,5,7,1
2025-2026,Kia Tigers,NC Dinos,4,3,0
2025-2026,Doosan Bears,KT Wiz,6,7,1
2025-2026,LG Twins,Kiwoom Heroes,4,5,1
2025-2026,Samsung Lions,NC Dinos,4,3,0
2025-2026,Kia Tigers,LG Twins,3,5,1
2025-2026,Doosan Bears,Hanwha Eagles,1,3,1
2025-2026,Lotte Giants,Kiwoom Heroes,5,6,1
2025-2026,Kiwoom Heroes,Hanwha Eagles,6,8,1
2025-2026,Hanwha Eagles,Doosan Bears,4,3,0
2025-2026,KT Wiz,NC Dinos,4,3,0
2025-2026,Doosan Bears,LG Twins,8,4,0
2025-2026,SSG Landers,KT Wiz,2,6,1
2025-2026,SSG Landers,Doosan Bears,7,4,0
2025-2026,Kiwoom Heroes,Samsung Lions,6,3,0
2025-2026,Kia Tigers,LG Twins,5,4,0
2025-2026,KT Wiz,Kiwoom Heroes,5,9,1
2025-2026,NC Dinos,Hanwha Eagles,4,8,1
2025-2026,SSG Landers,Kiwoom Heroes,3,5,1
2025-2026,KT Wiz,LG Twins,5,4,0
2025-2026,Samsung Lions,Lotte Giants,8,7,0
2025-2026,Lotte Giants,Hanwha Eagles,0,1,1
2025-2026,Doosan Bears,Samsung Lions,4,5,1
2025-2026,Lotte Giants,Doosan Bears,5,6,1
2025-2026,Samsung Lions,Hanwha Eagles,5,2,0
2025-2026,KT Wiz,LG Twins,5,7,1
2025-2026,NC Dinos,LG Twins,3,4,1
2025-2026,Lotte Giants,LG Twins,5,6,1
2025-2026,Doosan Bears,KT Wiz,3,4,1
2025-2026,Samsung Lions,Doosan Bears,5,7,1
2025-2026,NC Dinos,SSG Landers,2,4,1
2025-2026,Doosan Bears,SSG Landers,6,5,0
2025-2026,Lotte Giants,Hanwha Eagles,3,6,1
2025-2026,Hanwha Eagles,Kiwoom Heroes,4,10,1
2025-2026,Hanwha Eagles,Kiwoom Heroes,2,8,1
2025-2026,Samsung Lions,NC Dinos,3,7,1
2025-2026,Lotte Giants,Hanwha Eagles,3,4,1
2025-2026,Kia Tigers,Hanwha Eagles,5,3,0
2025-2026,LG Twins,Kiwoom Heroes,2,10,1
2025-2026,Kiwoom Heroes,LG Twins,2,4,1
2025-2026,Hanwha Eagles,Kia Tigers,3,6,1
2025-2026,LG Twins,Kia Tigers,2,4,1
2025-2026,Hanwha Eagles,Lotte Giants,4,6,1
2025-2026,Doosan Bears,Lotte Giants,4,3,0
2025-2026,NC Dinos,LG Twins,4,7,1
2025-2026,LG Twins,Kia Tigers,7,4,0
2025-2026,Hanwha Eagles,Kia Tigers,7,4,0
2025-2026,Kiwoom Heroes,Samsung Lions,6,7,1
2025-2026,Lotte Giants,Hanwha Eagles,8,6,0
2025-2026,LG Twins,Hanwha Eagles,2,6,1
2025-2026,Doosan Bears,Hanwha Eagles,4,5,1
2025-2026,Kia Tigers,Doosan Bears,8,6,0
2025-2026,Kia Tigers,Lotte Giants,5,6,1
2025-2026,KT Wiz,Lotte Giants,2,7,1
2025-2026,Doosan Bears,Kia Tigers,5,9,1
2025-2026,LG Twins,Kia Tigers,4,2,0
2025-2026,SSG Landers,KT Wiz,4,2,0
2025-2026,Lotte Giants,NC Dinos,8,3,0
2025-2026,Lotte Giants,LG Twins,3,4,1
2025-2026,SSG Landers,NC Dinos,3,4,1
2025-2026,Hanwha Eagles,LG Twins,4,6,1
2025-2026,Doosan Bears,SSG Landers,3,2,0
2025-2026,Doosan Bears,Samsung Lions,3,8,1
2025-2026,Hanwha Eagles,Samsung Lions,4,5,1
2025-2026,Samsung Lions,Kia Tigers,5,3,0
2025-2026,NC Dinos,Kia Tigers,3,4,1
2025-2026,LG Twins,Lotte Giants,6,7,1
2025-2026,Lotte Giants,Kiwoom Heroes,4,3,0
2025-2026,KT Wiz,Kiwoom Heroes,7,5,0
2025-2026,KT Wiz,Hanwha Eagles,4,8,1
2025-2026,SSG Landers,LG Twins,6,5,0
2025-2026,Lotte Giants,KT Wiz,3,4,1
2025-2026,Kiwoom Heroes,Kia Tigers,4,5,1
2025-2026,Lotte Giants,SSG Landers,9,6,0
2025-2026,Samsung Lions,SSG Landers,4,2,0
2025-2026,Hanwha Eagles,NC Dinos,4,2,0
2025-2026,Kia Tigers,Hanwha Eagles,4,2,0
2025-2026,Doosan Bears,Lotte Giants,6,8,1
2025-2026,NC Dinos,Kiwoom Heroes,4,7,1
2025-2026,Hanwha Eagles,Doosan Bears,3,2,0
2025-2026,Lotte Giants,SSG Landers,7,8,1
2025-2026,NC Dinos,KT Wiz,5,10,1
2025-2026,Lotte Giants,Samsung Lions,9,3,0
2025-2026,Hanwha Eagles,NC Dinos,4,5,1
2025-2026,Samsung Lions,NC Dinos,4,6,1
2025-2026,Samsung Lions,LG Twins,4,5,1
2025-2026,Kiwoom Heroes,Samsung Lions,2,4,1
2025-2026,Lotte Giants,Doosan Bears,4,6,1
2025-2026,Lotte Giants,LG Twins,4,6,1
2025-2026,NC Dinos,Kiwoom Heroes,7,6,0
2025-2026,NC Dinos,Samsung Lions,6,7,1
2025-2026,Samsung Lions,Doosan Bears,2,9,1
2025-2026,NC Dinos,Samsung Lions,8,7,0
2025-2026,KT Wiz,Lotte Giants,2,3,1
2025-2026,Doosan Bears,LG Twins,6,5,0
2025-2026,SSG Landers,Doosan Bears,3,6,1
2025-2026,LG Twins,KT Wiz,7,8,1
2025-2026,NC Dinos,Lotte Giants,2,6,1
2025-2026,Doosan Bears,Kia Tigers,2,7,1
2025-2026,Kia Tigers,KT Wiz,2,5,1
2025-2026,KT Wiz,Doosan Bears,3,4,1
2025-2026,NC Dinos,Kia Tigers,3,6,1
2025-2026,SSG Landers,LG Twins,7,1,0
2025-2026,Doosan Bears,Kia Tigers,6,10,1
2025-2026,Hanwha Eagles,KT Wiz,6,7,1
2025-2026,SSG Landers,Samsung Lions,6,8,1
2025-2026,KT Wiz,SSG Landers,2,7,1
2025-2026,Samsung Lions,Kiwoom Heroes,1,2,1
2025-2026,Kiwoom Heroes,NC Dinos,3,7,1
2025-2026,Samsung Lions,Kiwoom Heroes,9,5,0
2025-2026,NC Dinos,Kiwoom Heroes,4,1,0
2025-2026,SSG Landers,NC Dinos,6,3,0
2025-2026,LG Twins,Samsung Lions,6,7,1
2025-2026,Hanwha Eagles,Doosan Bears,4,3,0
2025-2026,Lotte Giants,LG Twins,3,5,1
2025-2026,NC Dinos,SSG Landers,5,3,0
2025-2026,Doosan Bears,KT Wiz,5,4,0
2025-2026,Lotte Giants,Samsung Lions,6,5,0
2025-2026,Kiwoom Heroes,LG Twins,4,7,1
2025-2026,LG Twins,NC Dinos,4,3,0
2025-2026,Kia Tigers,Doosan Bears,3,4,1
2025-2026,Kia Tigers,LG Twins,9,5,0
2025-2026,LG Twins,NC Dinos,2,4,1
2025-2026,Hanwha Eagles,Kiwoom Heroes,6,3,0
2025-2026,Lotte Giants,KT Wiz,9,2,0
2025-2026,Kiwoom Heroes,Kia Tigers,2,6,1
2025-2026,Kiwoom Heroes,LG Twins,1,4,1
2025-2026,Hanwha Eagles,Lotte Giants,6,5,0
2025-2026,Doosan Bears,Samsung Lions,4,7,1
2025-2026,Hanwha Eagles,NC Dinos,5,4,0
2025-2026,KT Wiz,Kia Tigers,5,3,0
2025-2026,NC Dinos,KT Wiz,3,2,0
2025-2026,Lotte Giants,Hanwha Eagles,5,2,0
2025-2026,SSG Landers,Doosan Bears,6,4,0
2025-2026,Lotte Giants,Samsung Lions,2,4,1
2025-2026,NC Dinos,Hanwha Eagles,4,3,0
2025-2026,Kia Tigers,Hanwha Eagles,7,8,1
2025-2026,Kiwoom Heroes,SSG Landers,4,5,1
2025-2026,Kia Tigers,Hanwha Eagles,4,3,0
2025-2026,Doosan Bears,KT Wiz,3,7,1
2025-2026,Kia Tigers,Kiwoom Heroes,2,6,1
2025-2026,Doosan Bears,NC Dinos,5,4,0
2025-2026,LG Twins,Doosan Bears,4,6,1
2025-2026,SSG Landers,Kiwoom Heroes,5,6,1
2025-2026,Samsung Lions,Hanwha Eagles,2,3,1
2025-2026,Kia Tigers,SSG Landers,5,6,1
2025-2026,Kia Tigers,Kiwoom Heroes,4,3,0
2025-2026,Lotte Giants,Doosan Bears,4,3,0
2025-2026,Samsung Lions,NC Dinos,4,2,0
2025-2026,Kia Tigers,Hanwha Eagles,5,1,0
2025-2026,SSG Landers,Doosan Bears,9,4,0
2025-2026,Kiwoom Heroes,Samsung Lions,7,2,0
2025-2026,LG Twins,Hanwha Eagles,3,4,1
2025-2026,Kiwoom Heroes,NC Dinos,3,7,1
2025-2026,Samsung Lions,Kia Tigers,3,5,1
2025-2026,Kia Tigers,Samsung Lions,5,6,1
2025-2026,Kia Tigers,LG Twins,5,4,0
2025-2026,Hanwha Eagles,Lotte Giants,4,3,0
2025-2026,LG Twins,Hanwha Eagles,2,7,1
2025-2026,Doosan Bears,Kia Tigers,3,4,1
2025-2026,SSG Landers,Kia Tigers,4,3,0
2025-2026,NC Dinos,Doosan Bears,5,7,1
2025-2026,Doosan Bears,KT Wiz,3,5,1
2025-2026,Kiwoom Heroes,SSG Landers,5,2,0
2025-2026,Samsung Lions,LG Twins,2,3,1
2025-2026,KT Wiz,SSG Landers,1,4,1
2025-2026,Kiwoom Heroes,SSG Landers,2,3,1
2025-2026,Doosan Bears,Hanwha Eagles,4,2,0
2025-2026,Kiwoom Heroes,LG Twins,4,3,0
2025-2026,Lotte Giants,NC Dinos,5,6,1
2025-2026,KT Wiz,Kiwoom Heroes,6,8,1
2025-2026,SSG Landers,KT Wiz,4,7,1
2025-2026,Hanwha Eagles,KT Wiz,2,3,1
2025-2026,KT Wiz,Doosan Bears,3,5,1
2025-2026,KT Wiz,Hanwha Eagles,3,4,1
2025-2026,NC Dinos,Kiwoom Heroes,2,5,1
2025-2026,Kiwoom Heroes,Doosan Bears,1,4,1
2025-2026,Kia Tigers,SSG Landers,5,4,0
2025-2026,Doosan Bears,Kia Tigers,6,3,0
2025-2026,Doosan Bears,Kiwoom Heroes,4,3,0
2025-2026,LG Twins,Kia Tigers,3,5,1
2025-2026,Hanwha Eagles,Kia Tigers,5,6,1
2025-2026,SSG Landers,LG Twins,5,7,1
2025-2026,Kiwoom Heroes,KT Wiz,7,8,1
2025-2026,Hanwha Eagles,SSG Landers,7,2,0
2025-2026,KT Wiz,Doosan Bears,4,6,1
2025-2026,Doosan Bears,Kiwoom Heroes,4,3,0
2025-2026,Kiwoom Heroes,NC Dinos,6,4,0
2025-2026,KT Wiz,Doosan Bears,6,10,1
2025-2026,SSG Landers,Kiwoom Heroes,2,3,1
2025-2026,NC Dinos,Samsung Lions,6,3,0
2025-2026,Hanwha Eagles,NC Dinos,3,4,1
2025-2026,NC Dinos,Kiwoom Heroes,5,4,0
2025-2026,Doosan Bears,LG Twins,3,5,1
2025-2026,Hanwha Eagles,Kiwoom Heroes,8,13,1
2025-2026,NC Dinos,Kia Tigers,5,4,0
2025-2026,Lotte Giants,Kia Tigers,2,3,1
2025-2026,Lotte Giants,Doosan Bears,5,6,1
2025-2026,Hanwha Eagles,Kia Tigers,3,6,1
2025-2026,LG Twins,NC Dinos,10,6,0
2025-2026,Kiwoom Heroes,Kia Tigers,9,2,0
2025-2026,Kia Tigers,Doosan Bears,9,4,0
2025-2026,LG Twins,NC Dinos,3,4,1
2025-2026,Kiwoom Heroes,KT Wiz,5,3,0
2025-2026,Kia Tigers,Hanwha Eagles,4,5,1
2025-2026,Kia Tigers,NC Dinos,3,7,1
2025-2026,Doosan Bears,Kiwoom Heroes,1,4,1
2025-2026,Hanwha Eagles,KT Wiz,5,2,0
