Date,Away_Team,Home_Team,Away_Score,Home_Score,Home_Win,Away_L10,Home_L10,L10_Diff,Away_Pitcher_ERA,Home_Pitcher_ERA,ERA_Diff,Away_Lineup_OPS,Home_Lineup_OPS,OPS_Diff,Away_Bullpen_ERA,Home_Bullpen_ERA,Bullpen_ERA_Diff
2025-2026,LG Twins,Lotte Giants,4,6,1,0.5,0.5,0.0,3.75,4.12,0.3700000000000001,0.748,0.772,0.02400000000000002,5.17,4.11,-1.0599999999999996
2025-2026,NC Dinos,KT Wiz,4,1,0,0.6666666666666666,0.3333333333333333,-0.3333333333333333,3.39,4.65,1.2600000000000002,0.747,0.791,0.04400000000000004,3.83,5.26,1.4299999999999997
2025-2026,LG Twins,Samsung Lions,3,4,1,0.42857142857142855,1.0,0.5714285714285714,4.45,3.85,-0.6000000000000001,0.784,0.766,-0.018000000000000016,4.5,4.64,0.13999999999999968
2025-2026,Samsung Lions,LG Twins,3,4,1,1.0,0.375,-0.625,3.47,4.36,0.8900000000000001,0.769,0.728,-0.041000000000000036,3.72,3.48,-0.2400000000000002
2025-2026,Samsung Lions,NC Dinos,4,2,1,0.6666666666666666,0.75,0.08333333333333337,3.07,4.0,0.9300000000000002,0.753,0.767,0.014000000000000012,5.8,5.5,-0.2999999999999998
2025-2026,LG Twins,Doosan Bears,3,4,1,0.4444444444444444,0.6666666666666666,0.2222222222222222,5.37,4.18,-1.1900000000000004,0.693,0.819,0.126,3.47,5.05,1.5799999999999996
2025-2026,Kiwoom Heroes,Doosan Bears,4,3,0,0.5,0.7142857142857143,0.2142857142857143,4.02,4.58,0.5600000000000005,0.768,0.693,-0.07500000000000007,4.52,4.61,0.09000000000000075
2025-2026,Lotte Giants,Samsung Lions,3,8,1,0.6666666666666666,0.75,0.08333333333333337,4.25,3.45,-0.7999999999999998,0.853,0.763,-0.08999999999999997,4.74,4.04,-0.7000000000000002
2025-2026,Lotte Giants,NC Dinos,5,4,0,0.5,0.6,0.09999999999999998,3.06,5.77,2.7099999999999995,0.821,0.713,-0.10799999999999998,4.59,3.53,-1.06
2025-2026,Kiwoom Heroes,Kia Tigers,7,6,1,0.6,0.5,-0.09999999999999998,3.76,3.3,-0.45999999999999996,0.836,0.827,-0.009000000000000008,4.17,3.94,-0.22999999999999998
2025-2026,NC Dinos,Lotte Giants,1,5,1,0.5,0.6,0.09999999999999998,4.29,3.13,-1.1600000000000001,0.709,0.664,-0.04499999999999993,4.21,4.96,0.75
2025-2026,Samsung Lions,SSG Landers,2,3,1,0.8,0.5,-0.30000000000000004,3.28,5.03,1.7500000000000004,0.681,0.721,0.039999999999999925,4.33,5.52,1.1899999999999995
2025-2026,NC Dinos,Lotte Giants,7,5,1,0.42857142857142855,0.6666666666666666,0.23809523809523808,4.5,4.73,0.23000000000000043,0.732,0.778,0.04600000000000004,4.2,5.28,1.08
2025-2026,Lotte Giants,Kiwoom Heroes,7,3,0,0.5714285714285714,0.6666666666666666,0.09523809523809523,3.72,4.6,0.8799999999999994,0.743,0.849,0.10599999999999998,4.97,3.86,-1.1099999999999999
2025-2026,LG Twins,SSG Landers,8,6,1,0.4,0.6666666666666666,0.2666666666666666,3.97,4.6,0.6299999999999994,0.806,0.751,-0.05500000000000005,5.85,3.42,-2.4299999999999997
2025-2026,Kia Tigers,Doosan Bears,2,4,1,0.0,0.625,0.625,3.72,4.09,0.36999999999999966,0.638,0.722,0.08399999999999996,3.91,4.3,0.3899999999999997
2025-2026,Hanwha Eagles,Lotte Giants,7,5,1,0.0,0.625,0.625,5.68,3.38,-2.3,0.832,0.868,0.03600000000000003,3.34,2.96,-0.3799999999999999
2025-2026,LG Twins,Doosan Bears,7,5,0,0.4,0.6666666666666666,0.2666666666666666,4.19,4.16,-0.03000000000000025,0.731,0.668,-0.06299999999999994,4.24,4.43,0.1899999999999995
2025-2026,SSG Landers,KT Wiz,6,9,0,0.5,0.25,-0.25,3.35,3.56,0.20999999999999996,0.714,0.623,-0.09099999999999997,6.11,4.1,-2.0100000000000007
2025-2026,Lotte Giants,NC Dinos,6,5,0,0.5555555555555556,0.5,-0.05555555555555558,4.86,4.88,0.019999999999999574,0.679,0.781,0.10199999999999998,3.74,3.87,0.1299999999999999
2025-2026,LG Twins,Kia Tigers,7,3,1,0.5,0.0,-0.5,3.22,3.98,0.7599999999999998,0.641,0.725,0.08399999999999996,5.45,3.08,-2.37
2025-2026,Samsung Lions,KT Wiz,4,0,0,0.6666666666666666,0.4,-0.2666666666666666,4.37,3.44,-0.9300000000000002,0.789,0.694,-0.09500000000000008,5.47,4.56,-0.9100000000000001
2025-2026,LG Twins,Lotte Giants,6,5,1,0.6,0.6,0.0,2.63,3.84,1.21,0.744,0.798,0.05400000000000005,3.91,3.83,-0.08000000000000007
2025-2026,Lotte Giants,Hanwha Eagles,3,6,0,0.5,0.25,-0.25,3.14,4.43,1.2899999999999996,0.663,0.77,0.10699999999999998,4.7,3.38,-1.3200000000000003
2025-2026,Kia Tigers,NC Dinos,6,2,0,0.0,0.4444444444444444,0.4444444444444444,4.36,3.65,-0.7100000000000004,0.662,0.721,0.05899999999999994,5.44,2.19,-3.2500000000000004
2025-2026,Kiwoom Heroes,LG Twins,4,10,1,0.5714285714285714,0.6,0.02857142857142858,4.79,3.44,-1.35,0.72,0.678,-0.041999999999999926,4.03,4.18,0.14999999999999947
2025-2026,NC Dinos,Doosan Bears,4,5,0,0.4,0.6,0.19999999999999996,4.34,4.29,-0.04999999999999982,0.84,0.807,-0.03299999999999992,4.16,5.44,1.2800000000000002
2025-2026,LG Twins,Kiwoom Heroes,6,4,0,0.6,0.5,-0.09999999999999998,4.11,4.3,0.1899999999999995,0.724,0.794,0.07000000000000006,3.89,5.36,1.4700000000000002
2025-2026,Kiwoom Heroes,Lotte Giants,4,9,1,0.4444444444444444,0.5,0.05555555555555558,3.96,3.69,-0.27,0.65,0.749,0.09899999999999998,3.59,3.88,0.29000000000000004
2025-2026,Kiwoom Heroes,SSG Landers,5,6,0,0.4,0.4,0.0,3.02,3.72,0.7000000000000002,0.725,0.866,0.14100000000000001,3.85,3.78,-0.07000000000000028
2025-2026,Hanwha Eagles,Kiwoom Heroes,3,4,1,0.4,0.3,-0.10000000000000003,3.62,4.29,0.6699999999999999,0.724,0.691,-0.03300000000000003,3.44,4.53,1.0900000000000003
2025-2026,NC Dinos,SSG Landers,5,3,1,0.3,0.5,0.2,3.83,2.94,-0.8900000000000001,0.6,0.663,0.06300000000000006,4.32,3.5,-0.8200000000000003
2025-2026,Lotte Giants,LG Twins,3,1,1,0.5,0.7,0.19999999999999996,5.05,2.97,-2.0799999999999996,0.737,0.713,-0.02400000000000002,3.76,4.41,0.6500000000000004
2025-2026,KT Wiz,Lotte Giants,4,6,1,0.3333333333333333,0.6,0.26666666666666666,4.47,3.53,-0.94,0.726,0.752,0.026000000000000023,4.46,4.74,0.28000000000000025
2025-2026,Kiwoom Heroes,SSG Landers,4,5,0,0.4,0.42857142857142855,0.028571428571428525,2.79,3.93,1.1400000000000001,0.782,0.77,-0.01200000000000001,3.21,5.06,1.8499999999999996
2025-2026,Doosan Bears,Hanwha Eagles,4,5,1,0.7,0.3333333333333333,-0.36666666666666664,4.46,4.35,-0.11000000000000032,0.851,0.741,-0.10999999999999999,4.53,4.13,-0.40000000000000036
2025-2026,Kia Tigers,KT Wiz,4,3,0,0.25,0.2857142857142857,0.0357142857142857,3.89,5.28,1.3900000000000001,0.808,0.776,-0.03200000000000003,4.88,4.06,-0.8200000000000003
2025-2026,Kia Tigers,NC Dinos,1,2,0,0.4,0.3,-0.10000000000000003,3.66,4.79,1.13,0.724,0.68,-0.04399999999999993,2.9,3.59,0.69
2025-2026,KT Wiz,LG Twins,5,4,1,0.25,0.7,0.44999999999999996,4.69,3.97,-0.7200000000000002,0.674,0.842,0.16799999999999993,4.56,3.62,-0.9399999999999995
2025-2026,KT Wiz,LG Twins,6,8,1,0.3333333333333333,0.7,0.36666666666666664,5.02,4.08,-0.9399999999999995,0.894,0.75,-0.14400000000000002,5.16,4.04,-1.12
2025-2026,NC Dinos,KT Wiz,4,5,1,0.4,0.3,-0.10000000000000003,4.95,3.3,-1.6500000000000004,0.744,0.822,0.07799999999999996,3.45,4.46,1.0099999999999998
2025-2026,Hanwha Eagles,Doosan Bears,3,4,1,0.42857142857142855,0.6,0.17142857142857143,3.53,4.09,0.56,0.741,0.776,0.03500000000000003,5.47,4.84,-0.6299999999999999
2025-2026,KT Wiz,Doosan Bears,4,6,0,0.3,0.6,0.3,3.95,3.87,-0.08000000000000007,0.739,0.782,0.04300000000000004,4.59,3.64,-0.9499999999999997
2025-2026,Doosan Bears,Hanwha Eagles,1,4,0,0.6,0.375,-0.22499999999999998,4.47,4.36,-0.10999999999999943,0.752,0.789,0.03700000000000003,3.81,5.24,1.4300000000000002
2025-2026,Hanwha Eagles,Doosan Bears,6,4,0,0.4444444444444444,0.5,0.05555555555555558,4.98,3.44,-1.5400000000000005,0.731,0.782,0.051000000000000045,4.26,4.01,-0.25
2025-2026,LG Twins,Samsung Lions,7,5,0,0.7,0.7142857142857143,0.014285714285714346,3.82,4.52,0.6999999999999997,0.706,0.794,0.08800000000000008,4.69,4.19,-0.5
2025-2026,Hanwha Eagles,Samsung Lions,5,3,1,0.5,0.625,0.125,4.05,5.33,1.2800000000000002,0.707,0.835,0.128,4.35,3.68,-0.6699999999999995
2025-2026,Doosan Bears,Hanwha Eagles,5,4,0,0.5,0.6,0.09999999999999998,3.31,4.01,0.6999999999999997,0.738,0.767,0.029000000000000026,4.68,2.5,-2.1799999999999997
2025-2026,Kiwoom Heroes,Hanwha Eagles,4,3,1,0.4,0.6,0.19999999999999996,3.24,4.42,1.1799999999999997,0.707,0.798,0.09100000000000008,3.66,4.82,1.1600000000000001
2025-2026,Lotte Giants,Doosan Bears,7,8,1,0.6,0.5,-0.09999999999999998,4.85,4.65,-0.1999999999999993,0.697,0.75,0.05300000000000005,4.42,4.72,0.2999999999999998
2025-2026,Kiwoom Heroes,SSG Landers,4,8,0,0.4,0.5,0.09999999999999998,5.28,3.78,-1.5000000000000004,0.746,0.841,0.09499999999999997,3.31,4.0,0.69
2025-2026,Kiwoom Heroes,Lotte Giants,3,7,1,0.3,0.5,0.2,4.14,4.28,0.14000000000000057,0.725,0.714,-0.01100000000000001,4.22,4.25,0.03000000000000025
2025-2026,Hanwha Eagles,KT Wiz,3,10,0,0.6,0.3,-0.3,5.0,4.11,-0.8899999999999997,0.83,0.863,0.03300000000000003,3.67,4.56,0.8899999999999997
2025-2026,Kia Tigers,SSG Landers,4,6,0,0.3333333333333333,0.5555555555555556,0.22222222222222227,4.49,4.18,-0.3100000000000005,0.6,0.753,0.15300000000000002,3.79,3.11,-0.6800000000000002
2025-2026,Kia Tigers,Doosan Bears,2,6,0,0.2857142857142857,0.6,0.3142857142857143,3.68,3.48,-0.20000000000000018,0.805,0.669,-0.136,5.17,3.83,-1.3399999999999999
2025-2026,Lotte Giants,NC Dinos,2,7,0,0.6,0.3,-0.3,4.49,4.12,-0.3700000000000001,0.815,0.763,-0.051999999999999935,5.06,4.76,-0.2999999999999998
2025-2026,Kiwoom Heroes,KT Wiz,3,7,1,0.2,0.4,0.2,5.43,4.5,-0.9299999999999997,0.616,0.714,0.09799999999999998,4.73,3.32,-1.4100000000000006
2025-2026,Samsung Lions,LG Twins,8,6,1,0.5555555555555556,0.8,0.24444444444444446,4.17,5.26,1.0899999999999999,0.719,0.805,0.08600000000000008,3.54,4.41,0.8700000000000001
2025-2026,Kiwoom Heroes,SSG Landers,6,5,1,0.2,0.6,0.39999999999999997,5.45,4.87,-0.5800000000000001,0.718,0.716,-0.0020000000000000018,4.08,3.25,-0.8300000000000001
2025-2026,Hanwha Eagles,Lotte Giants,1,7,0,0.5,0.5,0.0,2.1,5.82,3.72,0.656,0.728,0.07199999999999995,5.15,4.53,-0.6200000000000001
2025-2026,NC Dinos,Hanwha Eagles,1,4,1,0.4,0.4,0.0,4.86,3.49,-1.37,0.693,0.642,-0.050999999999999934,4.4,4.18,-0.22000000000000064
2025-2026,KT Wiz,Doosan Bears,5,7,1,0.5,0.6,0.09999999999999998,4.27,4.8,0.5300000000000002,0.673,0.728,0.05499999999999994,5.92,3.07,-2.85
2025-2026,NC Dinos,SSG Landers,6,7,0,0.4,0.6,0.19999999999999996,3.96,4.25,0.29000000000000004,0.845,0.61,-0.235,4.58,5.02,0.4399999999999995
2025-2026,LG Twins,Hanwha Eagles,1,2,0,0.7,0.5,-0.19999999999999996,4.27,5.85,1.58,0.796,0.66,-0.136,4.43,3.69,-0.7399999999999998
2025-2026,NC Dinos,SSG Landers,1,6,1,0.4,0.6,0.19999999999999996,2.61,3.45,0.8400000000000003,0.816,0.801,-0.014999999999999902,4.08,3.63,-0.4500000000000002
2025-2026,Kia Tigers,NC Dinos,7,6,1,0.25,0.3,0.04999999999999999,4.02,3.43,-0.5899999999999994,0.783,0.802,0.019000000000000017,4.39,4.34,-0.04999999999999982
2025-2026,KT Wiz,Doosan Bears,5,6,1,0.4,0.7,0.29999999999999993,4.49,3.62,-0.8700000000000001,0.672,0.781,0.10899999999999999,4.19,5.0,0.8099999999999996
2025-2026,Hanwha Eagles,SSG Landers,4,1,1,0.5,0.6,0.09999999999999998,5.38,2.4,-2.98,0.709,0.697,-0.01200000000000001,4.8,3.49,-1.3099999999999996
2025-2026,LG Twins,Lotte Giants,2,3,1,0.6,0.6,0.0,3.79,3.68,-0.10999999999999988,0.769,0.752,-0.017000000000000015,4.97,4.24,-0.7299999999999995
2025-2026,LG Twins,KT Wiz,2,3,1,0.5,0.4,-0.09999999999999998,3.55,3.49,-0.05999999999999961,0.667,0.755,0.08799999999999997,3.75,4.5,0.75
2025-2026,Kia Tigers,KT Wiz,2,4,1,0.3333333333333333,0.5,0.16666666666666669,3.8,4.22,0.41999999999999993,0.783,0.685,-0.09799999999999998,3.37,4.69,1.3200000000000003
2025-2026,Kiwoom Heroes,KT Wiz,6,7,0,0.3,0.6,0.3,4.93,4.37,-0.5599999999999996,0.726,0.845,0.119,3.01,4.32,1.3100000000000005
2025-2026,Doosan Bears,Hanwha Eagles,3,9,0,0.7,0.6,-0.09999999999999998,4.46,5.6,1.1399999999999997,0.718,0.808,0.09000000000000008,4.66,3.94,-0.7200000000000002
2025-2026,Samsung Lions,Kia Tigers,4,3,0,0.6,0.3,-0.3,3.78,4.86,1.0800000000000005,0.783,0.742,-0.041000000000000036,3.53,3.62,0.0900000000000003
2025-2026,Lotte Giants,Samsung Lions,4,6,1,0.6,0.6,0.0,4.61,3.64,-0.9700000000000002,0.767,0.757,-0.010000000000000009,2.79,4.26,1.4699999999999998
2025-2026,Kia Tigers,LG Twins,4,5,1,0.3,0.4,0.10000000000000003,4.28,3.38,-0.9000000000000004,0.718,0.768,0.050000000000000044,4.57,3.45,-1.12
2025-2026,Doosan Bears,Hanwha Eagles,4,5,1,0.7,0.6,-0.09999999999999998,4.97,4.49,-0.47999999999999954,0.81,0.632,-0.17800000000000005,6.05,2.16,-3.8899999999999997
2025-2026,Samsung Lions,Kiwoom Heroes,5,7,0,0.6,0.3,-0.3,3.64,3.04,-0.6000000000000001,0.675,0.74,0.06499999999999995,4.3,4.51,0.20999999999999996
2025-2026,Kia Tigers,NC Dinos,4,3,0,0.3,0.3,0.0,3.94,5.57,1.6300000000000003,0.777,0.714,-0.06300000000000006,4.89,4.83,-0.05999999999999961
2025-2026,Doosan Bears,KT Wiz,6,7,1,0.6,0.6,0.0,3.89,5.04,1.15,0.776,0.695,-0.08100000000000007,4.36,2.55,-1.8100000000000005
2025-2026,LG Twins,Kiwoom Heroes,4,5,1,0.4,0.4,0.0,3.03,3.72,0.6900000000000004,0.721,0.738,0.017000000000000015,4.23,3.49,-0.7400000000000002
2025-2026,Samsung Lions,NC Dinos,4,3,0,0.6,0.3,-0.3,4.44,2.73,-1.7100000000000004,0.76,0.863,0.10299999999999998,4.94,4.63,-0.3100000000000005
2025-2026,Kia Tigers,LG Twins,3,5,0,0.4,0.3,-0.10000000000000003,4.41,5.18,0.7699999999999996,0.665,0.793,0.128,4.1,5.64,1.54
2025-2026,Doosan Bears,Hanwha Eagles,1,3,0,0.5,0.6,0.09999999999999998,4.2,4.01,-0.1900000000000004,0.795,0.721,-0.07400000000000007,4.49,4.21,-0.28000000000000025
2025-2026,Lotte Giants,Kiwoom Heroes,5,6,1,0.6,0.5,-0.09999999999999998,4.01,5.09,1.08,0.729,0.789,0.06000000000000005,4.53,3.69,-0.8400000000000003
2025-2026,Kiwoom Heroes,Hanwha Eagles,6,8,1,0.5,0.6,0.09999999999999998,3.07,2.82,-0.25,0.709,0.839,0.13,3.83,4.07,0.2400000000000002
2025-2026,Hanwha Eagles,Doosan Bears,4,3,1,0.7,0.5,-0.19999999999999996,3.86,3.62,-0.23999999999999977,0.803,0.81,0.007000000000000006,4.99,5.16,0.16999999999999993
2025-2026,KT Wiz,NC Dinos,4,3,0,0.7,0.3,-0.39999999999999997,3.93,4.1,0.16999999999999948,0.698,0.759,0.061000000000000054,4.18,3.75,-0.4299999999999997
2025-2026,Doosan Bears,LG Twins,8,4,0,0.5,0.4,-0.09999999999999998,3.56,4.14,0.5799999999999996,0.655,0.716,0.06099999999999994,3.77,3.64,-0.1299999999999999
2025-2026,SSG Landers,KT Wiz,2,6,1,0.6,0.7,0.09999999999999998,4.07,3.74,-0.33000000000000007,0.647,0.797,0.15000000000000002,4.68,3.86,-0.8199999999999998
2025-2026,SSG Landers,Doosan Bears,7,4,1,0.6,0.5,-0.09999999999999998,4.52,4.6,0.08000000000000007,0.776,0.779,0.0030000000000000027,3.67,3.53,-0.14000000000000012
2025-2026,Kiwoom Heroes,Samsung Lions,6,3,1,0.5,0.6,0.09999999999999998,5.71,3.25,-2.46,0.663,0.809,0.14600000000000002,4.32,4.29,-0.03000000000000025
2025-2026,Kia Tigers,LG Twins,5,4,1,0.3,0.4,0.10000000000000003,4.34,3.99,-0.34999999999999964,0.845,0.793,-0.051999999999999935,4.29,5.34,1.0499999999999998
2025-2026,KT Wiz,Kiwoom Heroes,5,9,1,0.8,0.5,-0.30000000000000004,4.41,4.2,-0.20999999999999996,0.615,0.818,0.20299999999999996,5.06,4.43,-0.6299999999999999
2025-2026,NC Dinos,Hanwha Eagles,4,8,1,0.2,0.8,0.6000000000000001,4.14,4.51,0.3700000000000001,0.842,0.723,-0.119,4.63,4.02,-0.6100000000000003
2025-2026,SSG Landers,Kiwoom Heroes,3,5,0,0.6,0.6,0.0,2.66,4.67,2.01,0.753,0.834,0.08099999999999996,4.28,4.0,-0.28000000000000025
2025-2026,KT Wiz,LG Twins,5,4,1,0.7,0.3,-0.39999999999999997,4.18,3.2,-0.9799999999999995,0.734,0.767,0.03300000000000003,4.87,3.11,-1.7600000000000002
2025-2026,Samsung Lions,Lotte Giants,8,7,1,0.5,0.6,0.09999999999999998,4.25,2.87,-1.38,0.707,0.88,0.17300000000000004,5.27,4.82,-0.4499999999999993
2025-2026,Lotte Giants,Hanwha Eagles,0,1,0,0.5,0.9,0.4,6.17,5.12,-1.0499999999999998,0.764,0.714,-0.050000000000000044,4.69,4.15,-0.54
2025-2026,Doosan Bears,Samsung Lions,4,5,1,0.4,0.6,0.19999999999999996,4.05,4.37,0.3200000000000003,0.738,0.859,0.121,4.31,4.07,-0.23999999999999932
2025-2026,Lotte Giants,Doosan Bears,5,6,0,0.4,0.3,-0.10000000000000003,4.44,3.5,-0.9400000000000004,0.806,0.767,-0.039000000000000035,3.38,6.44,3.0600000000000005
2025-2026,Samsung Lions,Hanwha Eagles,5,2,1,0.6,1.0,0.4,4.17,5.34,1.17,0.747,0.716,-0.031000000000000028,3.55,4.41,0.8600000000000003
2025-2026,KT Wiz,LG Twins,5,7,0,0.7,0.2,-0.49999999999999994,3.27,4.19,0.9200000000000004,0.749,0.726,-0.02300000000000002,4.09,3.67,-0.41999999999999993
2025-2026,NC Dinos,LG Twins,3,4,0,0.1,0.3,0.19999999999999998,5.11,5.04,-0.07000000000000028,0.718,0.736,0.018000000000000016,3.87,3.9,0.029999999999999805
2025-2026,Lotte Giants,LG Twins,5,6,0,0.3,0.4,0.10000000000000003,4.8,4.15,-0.6499999999999995,0.737,0.78,0.04300000000000004,4.17,5.0,0.8300000000000001
2025-2026,Doosan Bears,KT Wiz,3,4,0,0.3,0.7,0.39999999999999997,4.83,5.75,0.9199999999999999,0.758,0.786,0.028000000000000025,4.34,4.28,-0.05999999999999961
2025-2026,Samsung Lions,Doosan Bears,5,7,1,0.7,0.2,-0.49999999999999994,3.47,5.5,2.03,0.637,0.721,0.08399999999999996,4.67,3.19,-1.48
2025-2026,NC Dinos,SSG Landers,2,4,0,0.1,0.6,0.5,5.32,3.9,-1.4200000000000004,0.659,0.754,0.09499999999999997,4.25,4.84,0.5899999999999999
2025-2026,Doosan Bears,SSG Landers,6,5,1,0.3,0.6,0.3,3.08,4.88,1.7999999999999998,0.785,0.884,0.09899999999999998,4.64,3.73,-0.9099999999999997
2025-2026,Lotte Giants,Hanwha Eagles,3,6,1,0.3,0.9,0.6000000000000001,4.67,4.62,-0.04999999999999982,0.75,0.859,0.10899999999999999,4.35,5.51,1.1600000000000001
2025-2026,Hanwha Eagles,Kiwoom Heroes,4,10,1,0.9,0.7,-0.20000000000000007,5.95,5.19,-0.7599999999999998,0.729,0.781,0.052000000000000046,2.92,4.96,2.04
2025-2026,Hanwha Eagles,Kiwoom Heroes,2,8,0,0.8,0.8,0.0,3.41,3.33,-0.08000000000000007,0.741,0.757,0.016000000000000014,3.64,3.89,0.25
2025-2026,Samsung Lions,NC Dinos,3,7,1,0.7,0.0,-0.7,3.75,4.65,0.9000000000000004,0.761,0.762,0.0010000000000000009,4.2,5.1,0.8999999999999995
2025-2026,Lotte Giants,Hanwha Eagles,3,4,0,0.2,0.7,0.49999999999999994,4.28,4.95,0.6699999999999999,0.708,0.792,0.08400000000000007,3.45,4.25,0.7999999999999998
2025-2026,Kia Tigers,Hanwha Eagles,5,3,1,0.3,0.7,0.39999999999999997,3.8,2.69,-1.1099999999999999,0.693,0.694,0.0010000000000000009,4.72,4.8,0.08000000000000007
2025-2026,LG Twins,Kiwoom Heroes,2,10,0,0.5,0.8,0.30000000000000004,2.96,3.15,0.18999999999999995,0.752,0.74,-0.01200000000000001,5.37,4.54,-0.8300000000000001
2025-2026,Kiwoom Heroes,LG Twins,2,4,0,0.9,0.5,-0.4,4.25,2.47,-1.7799999999999998,0.681,0.655,-0.026000000000000023,5.15,3.61,-1.5400000000000005
2025-2026,Hanwha Eagles,Kia Tigers,3,6,1,0.6,0.4,-0.19999999999999996,3.35,3.88,0.5299999999999998,0.764,0.779,0.015000000000000013,4.15,3.75,-0.40000000000000036
2025-2026,LG Twins,Kia Tigers,2,4,1,0.5,0.5,0.0,4.58,4.67,0.08999999999999986,0.638,0.794,0.15600000000000003,5.34,4.92,-0.41999999999999993
2025-2026,Hanwha Eagles,Lotte Giants,4,6,1,0.5,0.2,-0.3,3.46,5.3,1.8399999999999999,0.802,0.726,-0.07600000000000007,4.4,3.97,-0.43000000000000016
2025-2026,Doosan Bears,Lotte Giants,4,3,1,0.4,0.2,-0.2,5.44,4.16,-1.2800000000000002,0.768,0.849,0.08099999999999996,4.06,3.92,-0.13999999999999968
2025-2026,NC Dinos,LG Twins,4,7,1,0.1,0.5,0.4,3.57,5.4,1.8300000000000005,0.755,0.681,-0.07399999999999995,3.87,3.53,-0.3400000000000003
2025-2026,LG Twins,Kia Tigers,7,4,1,0.5,0.6,0.09999999999999998,3.94,3.0,-0.94,0.799,0.667,-0.132,4.09,4.5,0.41000000000000014
2025-2026,Hanwha Eagles,Kia Tigers,7,4,1,0.4,0.5,0.09999999999999998,4.85,2.74,-2.1099999999999994,0.84,0.768,-0.07199999999999995,4.03,5.64,1.6099999999999994
2025-2026,Kiwoom Heroes,Samsung Lions,6,7,0,0.8,0.6,-0.20000000000000007,3.22,4.06,0.8399999999999994,0.801,0.818,0.016999999999999904,4.42,3.45,-0.9699999999999998
2025-2026,Lotte Giants,Hanwha Eagles,8,6,1,0.1,0.4,0.30000000000000004,4.38,4.41,0.03000000000000025,0.63,0.856,0.22599999999999998,4.41,4.22,-0.1900000000000004
2025-2026,LG Twins,Hanwha Eagles,2,6,1,0.6,0.3,-0.3,5.25,4.07,-1.1799999999999997,0.663,0.727,0.06399999999999995,4.3,5.19,0.8900000000000006
2025-2026,Doosan Bears,Hanwha Eagles,4,5,1,0.5,0.4,-0.09999999999999998,2.91,2.45,-0.45999999999999996,0.703,0.82,0.11699999999999999,4.61,4.14,-0.47000000000000064
